Initial Optimized Composition,Rounded Optimized Composition,Rounded Optimized Tc,Initial Optimized Tc,Rounded Optimized Ef,Initial Optimized Ef,structure_atom_count
B_{17.01034} C_{27.02} O_{21.07086} K_{5.925553} Cu_{38.98892} Sr_{13.04230} Ba_{10.96470} Pt_{6.977298} ,B_{17.0} C_{27.0} O_{21.0} K_{6.0} Cu_{39.0} Sr_{13.0} Ba_{11.0} Pt_{7.0} ,91.36448,91.49246,-1.175382,-1.176179,141.0
O_{40.01464} Mg_{1.129988} Ca_{47.20101} Cu_{51.06735} In_{7.735039} La_{16.9327} Er_{17.18298} Pt_{7.736267} ,O_{40.0} Mg_{1.0} Ca_{47.0} Cu_{51.0} In_{8.0} La_{17.0} Er_{17.0} Pt_{8.0} ,91.48281,91.281944,-1.7536563,-1.7531947,189.0
Ca_{37.01583} Co_{30.91585} Sb_{12.10717} Ba_{36.03870} La_{19.03576} Yb_{17.00170} W_{16.96534} Pt_{11.91962} ,Ca_{37.0} Co_{31.0} Sb_{12.0} Ba_{36.0} La_{19.0} Yb_{17.0} W_{17.0} Pt_{12.0} ,90.40345,90.5706,0.19668324,0.1970535,181.0
B_{22.05143} Ca_{40.01162} Cu_{35.97011} Rh_{9.034757} La_{17.92976} Dy_{21.97420} Pt_{22.02811} ,B_{22.0} Ca_{40.0} Cu_{36.0} Rh_{9.0} La_{18.0} Dy_{22.0} Pt_{22.0} ,89.631096,89.700134,-0.022915246,-0.022891374,169.0
Be_{25.10142} C_{80.13152} Mg_{31.89528} P_{16.88101} Cl_{7.95098} At_{10.03977} ,Be_{25.0} C_{80.0} Mg_{32.0} P_{17.0} Cl_{8.0} At_{10.0} ,89.50977,89.66018,-1.4654121,-1.4624768,172.0
O_{30.99801} Cu_{40.98074} Rh_{18.00779} Ba_{36.04694} Er_{13.04558} Pt_{33.92091} ,O_{31.0} Cu_{41.0} Rh_{18.0} Ba_{36.0} Er_{13.0} Pt_{34.0} ,89.345566,89.40187,-1.5690423,-1.5708572,173.0
B_{29.06107} Cu_{40.96509} Ba_{31.18377} Tm_{19.9164} Pt_{36.87368} ,B_{29.0} Cu_{41.0} Ba_{31.0} Tm_{20.0} Pt_{37.0} ,88.894035,88.813866,-0.45070973,-0.4621969,158.0
N_{63.01723} Ca_{24.98386} Y_{17.90893} Ag_{10.02707} Ba_{26.08092} Pt_{43.98197} ,N_{63.0} Ca_{25.0} Y_{18.0} Ag_{10.0} Ba_{26.0} Pt_{44.0} ,88.623535,88.68506,-1.6059308,-1.6092392,186.0
B_{36.75799} Ca_{45.06516} Cu_{49.23802} La_{20.96696} Tm_{8.929132} Pt_{25.04273} ,B_{37.0} Ca_{45.0} Cu_{49.0} La_{21.0} Tm_{9.0} Pt_{25.0} ,88.55519,88.6296,-0.39783698,-0.39661413,186.0
C_{99.07674} Mg_{9.827099} Co_{29.09480} Ba_{48.00135} ,C_{99.0} Mg_{10.0} Co_{29.0} Ba_{48.0} ,87.8532,87.85176,-0.84819615,-0.83755016,186.0
B_{11.12639} Ca_{23.94139} Sn_{11.92082} Ba_{22.10822} Dy_{7.936892} Er_{5.019338} Yb_{15.96118} Pt_{27.98575} ,B_{11.0} Ca_{24.0} Sn_{12.0} Ba_{22.0} Dy_{8.0} Er_{5.0} Yb_{16.0} Pt_{28.0} ,87.7722,87.71178,0.39085263,0.38907248,126.0
N_{43.01124} Ca_{37.15202} Sr_{37.05468} Pt_{73.78205} ,N_{43.0} Ca_{37.0} Sr_{37.0} Pt_{74.0} ,87.41987,87.32643,-0.5657268,-0.5646085,191.0
B_{31.92969} Cu_{50.92167} Ba_{40.03859} La_{5.846154} Sm_{15.15988} Pt_{28.10400} ,B_{32.0} Cu_{51.0} Ba_{40.0} La_{6.0} Sm_{15.0} Pt_{28.0} ,87.02923,87.09202,-0.6462802,-0.64503264,172.0
Be_{8.959197} B_{5.980602} C_{23.99708} Mg_{24.05667} Cu_{28.03459} Tc_{8.034806} Pt_{44.96880} Pb_{22.96824} ,Be_{9.0} B_{6.0} C_{24.0} Mg_{24.0} Cu_{28.0} Tc_{8.0} Pt_{45.0} Pb_{23.0} ,86.57829,86.64416,0.21553777,0.21477582,167.0
C_{94.97494} Ca_{17.00498} Mo_{5.96688} Cs_{35.05525} Ba_{27.99792} ,C_{95.0} Ca_{17.0} Mo_{6.0} Cs_{35.0} Ba_{28.0} ,86.514465,86.53293,-1.2506187,-1.2522651,181.0
O_{3.042277} Ca_{32.95077} Ge_{54.03184} In_{14.00102} Ba_{27.03113} La_{12.93920} Pt_{54.00374} ,O_{3.0} Ca_{33.0} Ge_{54.0} In_{14.0} Ba_{27.0} La_{13.0} Pt_{54.0} ,86.39051,86.41997,-1.2865927,-1.289513,198.0
Cl_{17.04362} Ca_{41.05866} Cr_{33.01403} Zn_{16.03172} Ga_{17.95602} Sr_{42.98476} Y_{21.92736} Yb_{7.983808} ,Cl_{17.0} Ca_{41.0} Cr_{33.0} Zn_{16.0} Ga_{18.0} Sr_{43.0} Y_{22.0} Yb_{8.0} ,86.273285,86.35384,0.19410549,0.19422399,198.0
B_{23.00054} Cu_{27.01348} Ba_{26.00447} Tm_{9.985511} Pt_{20.99598} ,B_{23.0} Cu_{27.0} Ba_{26.0} Tm_{10.0} Pt_{21.0} ,85.91712,85.92574,-0.64474124,-0.6444162,107.0
O_{14.90299} Ca_{6.01345} Cu_{24.09305} La_{25.02726} Pt_{4.963238} ,O_{15.0} Ca_{6.0} Cu_{24.0} La_{25.0} Pt_{5.0} ,85.6837,85.73787,-1.9269369,-1.9186487,75.0
B_{7.964248} C_{30.05639} Ca_{37.96627} I_{34.99606} Ba_{28.07670} Er_{18.88354} Pt_{28.05676} ,B_{8.0} C_{30.0} Ca_{38.0} I_{35.0} Ba_{28.0} Er_{19.0} Pt_{28.0} ,85.43748,85.58533,-0.41570967,-0.4181318,186.0
