formula,atom_dict,valid_sample_bools,pred_Tc,pred_ef,Ef_bools,elecneg_bools,neutral_bools,all_True_bools
B18.0C45.0La30.0Nd9.0Tb14.0W23.0Pt28.0Tl12.0,"{'B': 18.0, 'C': 45.0, 'La': 30.0, 'Nd': 9.0, 'Pt': 28.0, 'Tb': 14.0, 'Tl': 12.0, 'W': 23.0}",True,19.594292,-1.329198,True,True,True,True
B25.0Na16.0P11.0Ga9.0Ba18.0La29.0Re26.0Pt28.0,"{'B': 25.0, 'Ba': 18.0, 'Ga': 9.0, 'La': 29.0, 'Na': 16.0, 'P': 11.0, 'Pt': 28.0, 'Re': 26.0}",True,19.507748,-1.3097215,True,False,True,False
B22.0Si50.0La33.0Gd5.0Er28.0Pt38.0,"{'B': 22.0, 'Er': 28.0, 'Gd': 5.0, 'La': 33.0, 'Pt': 38.0, 'Si': 50.0}",True,19.531456,-1.8795879,True,False,True,False
B23.0C31.0Ca11.0La30.0Re11.0,"{'B': 23.0, 'C': 31.0, 'Ca': 11.0, 'La': 30.0, 'Re': 11.0}",True,19.576874,-1.2557648,True,False,True,False
N49.0P36.0Pr31.0Nd4.0,"{'N': 49.0, 'Nd': 4.0, 'P': 36.0, 'Pr': 31.0}",True,19.635353,-3.191621,True,False,False,False
H16.0B30.0N39.0P14.0Ar8.0La46.0Pr10.0Pt34.0,"{'Ar': 8.0, 'B': 30.0, 'H': 16.0, 'La': 46.0, 'N': 39.0, 'P': 14.0, 'Pr': 10.0, 'Pt': 34.0}",True,19.3916,-2.0041432,True,False,False,False
B35.0C5.0Ar25.0Y14.0Mo20.0La19.0Tm2.0Pt14.0,"{'Ar': 25.0, 'B': 35.0, 'C': 5.0, 'La': 19.0, 'Mo': 20.0, 'Pt': 14.0, 'Tm': 2.0, 'Y': 14.0}",True,19.57505,-0.9719743,True,False,False,False
H24.0B50.0C23.0Mo52.0La26.0Ho23.0,"{'B': 50.0, 'C': 23.0, 'H': 24.0, 'Ho': 23.0, 'La': 26.0, 'Mo': 52.0}",True,19.560104,-0.9783643,True,True,True,True
H31.0C55.0Si13.0As31.0Sr6.0La38.0,"{'As': 31.0, 'C': 55.0, 'H': 31.0, 'La': 38.0, 'Si': 13.0, 'Sr': 6.0}",True,19.674023,-1.0989553,True,True,True,True
B60.0C14.0Tc28.0Ba14.0La30.0Nd18.0Dy7.0Ho18.0,"{'B': 60.0, 'Ba': 14.0, 'C': 14.0, 'Dy': 7.0, 'Ho': 18.0, 'La': 30.0, 'Nd': 18.0, 'Tc': 28.0}",True,19.475246,-1.2141312,True,False,False,False
C11.0N48.0P22.0Ar18.0Gd39.0Dy23.0,"{'Ar': 18.0, 'C': 11.0, 'Dy': 23.0, 'Gd': 39.0, 'N': 48.0, 'P': 22.0}",True,19.504356,-2.8208904,True,False,False,False
H15.0C9.0Al11.0Ge40.0Sr9.0La42.0Sm9.0Pt32.0,"{'Al': 11.0, 'C': 9.0, 'Ge': 40.0, 'H': 15.0, 'La': 42.0, 'Pt': 32.0, 'Sm': 9.0, 'Sr': 9.0}",True,19.547947,-1.6715547,True,True,True,True
B36.0Si22.0Sc11.0Ge33.0Xe12.0La35.0W20.0Pt26.0,"{'B': 36.0, 'Ge': 33.0, 'La': 35.0, 'Pt': 26.0, 'Sc': 11.0, 'Si': 22.0, 'W': 20.0, 'Xe': 12.0}",True,19.37484,-1.3169783,True,False,True,False
B32.0O9.0Y9.0Pd16.0La18.0Sm16.0,"{'B': 32.0, 'La': 18.0, 'O': 9.0, 'Pd': 16.0, 'Sm': 16.0, 'Y': 9.0}",True,19.476925,-1.1068932,True,False,False,False
B53.0C16.0Cs20.0Gd10.0Yb10.0W23.0Ir11.0Pt15.0,"{'B': 53.0, 'C': 16.0, 'Cs': 20.0, 'Gd': 10.0, 'Ir': 11.0, 'Pt': 15.0, 'W': 23.0, 'Yb': 10.0}",True,19.463646,-0.7181638,True,False,True,False
B47.0C34.0P25.0La48.0W34.0,"{'B': 47.0, 'C': 34.0, 'La': 48.0, 'P': 25.0, 'W': 34.0}",True,19.356245,-1.3934003,True,True,True,True
B15.0O12.0Br59.0Mo9.0La16.0Tm10.0Pt46.0,"{'B': 15.0, 'Br': 59.0, 'La': 16.0, 'Mo': 9.0, 'O': 12.0, 'Pt': 46.0, 'Tm': 10.0}",True,19.433388,-0.9814542,True,True,True,True
B4.0C76.0O31.0Y23.0La34.0,"{'B': 4.0, 'C': 76.0, 'La': 34.0, 'O': 31.0, 'Y': 23.0}",True,19.500088,-1.5999085,True,True,True,True
He15.0B34.0C15.0O30.0Mg9.0Y19.0La16.0Tl10.0,"{'B': 34.0, 'C': 15.0, 'He': 15.0, 'La': 16.0, 'Mg': 9.0, 'O': 30.0, 'Tl': 10.0, 'Y': 19.0}",True,19.385548,-1.6721941,True,False,False,False
B32.0C57.0La29.0Tm33.0Pt45.0,"{'B': 32.0, 'C': 57.0, 'La': 29.0, 'Pt': 45.0, 'Tm': 33.0}",True,19.412285,-1.071182,True,False,False,False
B38.0C52.0Cd17.0La28.0Tm25.0Pt38.0,"{'B': 38.0, 'C': 52.0, 'Cd': 17.0, 'La': 28.0, 'Pt': 38.0, 'Tm': 25.0}",True,19.273838,-0.8471663,True,False,False,False
B21.0C50.0La21.0Pt26.0Bi21.0,"{'B': 21.0, 'Bi': 21.0, 'C': 50.0, 'La': 21.0, 'Pt': 26.0}",True,19.178093,-1.0465186,True,True,True,True
H45.0Sc26.0Ge18.0Cs11.0La23.0Nd8.0Pt27.0,"{'Cs': 11.0, 'Ge': 18.0, 'H': 45.0, 'La': 23.0, 'Nd': 8.0, 'Pt': 27.0, 'Sc': 26.0}",True,19.281357,-0.69113684,True,False,True,False
H28.0Zn10.0As55.0Ba16.0La54.0Au28.0Hg6.0,"{'As': 55.0, 'Au': 28.0, 'Ba': 16.0, 'H': 28.0, 'Hg': 6.0, 'La': 54.0, 'Zn': 10.0}",True,19.311588,-1.2323877,True,False,False,False
B34.0Ca6.0Fe6.0Br31.0Cd17.0La40.0Pt31.0,"{'B': 34.0, 'Br': 31.0, 'Ca': 6.0, 'Cd': 17.0, 'Fe': 6.0, 'La': 40.0, 'Pt': 31.0}",True,19.249777,-0.66541564,True,False,False,False
B53.0C8.0K22.0Ti14.0La31.0Hf26.0Pt12.0,"{'B': 53.0, 'C': 8.0, 'Hf': 26.0, 'K': 22.0, 'La': 31.0, 'Pt': 12.0, 'Ti': 14.0}",True,19.296944,-0.61175805,True,False,False,False
B79.0C19.0Y22.0Xe22.0La37.0,"{'B': 79.0, 'C': 19.0, 'La': 37.0, 'Xe': 22.0, 'Y': 22.0}",True,19.340546,-0.6725718,True,False,False,False
B46.0Pd69.0Xe23.0La32.0Gd26.0,"{'B': 46.0, 'Gd': 26.0, 'La': 32.0, 'Pd': 69.0, 'Xe': 23.0}",True,19.390476,-0.9257015,True,False,False,False
B26.0O16.0Na32.0Si34.0Xe35.0La23.0Gd8.0Ho18.0,"{'B': 26.0, 'Gd': 8.0, 'Ho': 18.0, 'La': 23.0, 'Na': 32.0, 'O': 16.0, 'Si': 34.0, 'Xe': 35.0}",True,19.30294,-1.9583528,True,False,True,False
B31.0Mg23.0Sn26.0Cs18.0La31.0Pt23.0,"{'B': 31.0, 'Cs': 18.0, 'La': 31.0, 'Mg': 23.0, 'Pt': 23.0, 'Sn': 26.0}",True,19.333551,-1.1244897,True,False,False,False
C27.0O34.0Si2.0Ni18.0La47.0Pr8.0Dy11.0Pt52.0,"{'C': 27.0, 'Dy': 11.0, 'La': 47.0, 'Ni': 18.0, 'O': 34.0, 'Pr': 8.0, 'Pt': 52.0, 'Si': 2.0}",True,19.194614,-1.8785934,True,True,True,True
B39.0Ca6.0V17.0Ge20.0La51.0Pt51.0,"{'B': 39.0, 'Ca': 6.0, 'Ge': 20.0, 'La': 51.0, 'Pt': 51.0, 'V': 17.0}",True,19.613361,-0.8376573,True,False,False,False
B19.0C53.0O17.0La18.0Pt35.0Po12.0,"{'B': 19.0, 'C': 53.0, 'La': 18.0, 'O': 17.0, 'Po': 12.0, 'Pt': 35.0}",True,19.27644,-1.3223251,True,True,True,True
B20.0C57.0Rh14.0La25.0Pt24.0,"{'B': 20.0, 'C': 57.0, 'La': 25.0, 'Pt': 24.0, 'Rh': 14.0}",True,19.149971,-0.6903012,True,True,True,True
H27.0Li5.0C3.0La20.0Gd7.0Re22.0Pt26.0,"{'C': 3.0, 'Gd': 7.0, 'H': 27.0, 'La': 20.0, 'Li': 5.0, 'Pt': 26.0, 'Re': 22.0}",True,19.197716,-0.9509676,True,True,True,True
B39.0C4.0Ti13.0Kr15.0Mo6.0Ba13.0La33.0Pt21.0,"{'B': 39.0, 'Ba': 13.0, 'C': 4.0, 'Kr': 15.0, 'La': 33.0, 'Mo': 6.0, 'Pt': 21.0, 'Ti': 13.0}",True,19.105865,-0.8963912,True,False,False,False
B27.0C20.0Y7.0Xe24.0Cs6.0La37.0Pt40.0Bi2.0,"{'B': 27.0, 'Bi': 2.0, 'C': 20.0, 'Cs': 6.0, 'La': 37.0, 'Pt': 40.0, 'Xe': 24.0, 'Y': 7.0}",True,19.21743,-0.9428684,True,False,True,False
